start,end,today,note,org,org_other,org_base_reach,org_base_other,state,county,location_label,marketplace,direct,direct_gps,_direct_gps_latitude,_direct_gps_longitude,_direct_gps_altitude,_direct_gps_precision,direct_gps_latitude,direct_gps_longitude,indirect_gps_note,indirect_gps_latitude,indirect_gps_longitude,indirect_gps_check,indirect_gps_precision,indirect_gps_settlement,coordinates,lat,lon,type,size,wholesaler,marketday,marketday_when,marketday_when.dont_know,marketday_when.Monday,marketday_when.Tuesday,marketday_when.Wednesday,marketday_when.Thursday,marketday_when.Friday,marketday_when.Saturday,marketday_when.Sunday,currency,currency.dont_know,currency.SSP,currency.SDG,currency.ETB,currency.UGX,currency.KES,currency.CDF,currency.XAF,transport,transport.dont_know,transport.truck,transport.car,transport.boda,transport.bicycle,transport.tractor,transport.boat,transport.canoe,transport.airplane,transport.donkey,transport.people,transport.other,transport_other,availability_food,availability_food.dont_know,availability_food.none,availability_food.cereals,availability_food.pulses,availability_food.sugar,availability_food.cooking_oil,availability_food.vegetables,availability_food.fruit,availability_food.meat,availability_food.fish,availability_food.milk,availability_food.wild,availability_nfi,availability_nfi.dont_know,availability_nfi.none,availability_nfi.wash,availability_nfi.cooking,availability_nfi.firewood_charcoal,availability_nfi.tools,availability_nfi.seeds,availability_nfi.livestock,availability_nfi.construction,availability_nfi.clothing,availability_nfi.fuel,availability_nfi.medicine,availability_nfi.phone_credit,functionality_wet,score,comments,_id,_uuid,_submission_time,_validation_status,_index,Currently functional,Dot size,supply.dry,supply.dry.1,supply.dry.2,supply.dry.3,supply.wet,supply.wet.1,supply.wet.2,supply.wet.3,size_dry,size_wet
2020-01-14T10:46:48.098+03,2020-01-14T10:54:56.969+03,2020-01-14,,reach,,Ajuong Thok,,Unity,Abiemnhom,Abiemnhom Town,Abiemnhom Town market,no,,,,,,,,,9.39362,28.82092,yes,exact,Rob_GebbaAbiemnhom,"9.39362, 28.82092",9.39362,28.82092,permanent,1_15,no,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,truck car bicycle,0,1,1,0,1,0,0,0,0,0,0,0,,cereals pulses sugar cooking_oil vegetables fruit fish milk wild,0,0,1,1,1,1,1,1,0,1,1,1,wash cooking firewood_charcoal tools seeds livestock construction clothing fuel medicine phone_credit,0,0,1,1,1,1,1,1,1,1,1,1,1,yes,very_sure,,80916665,f2726613-30d2-4bee-b28f-9d05c800866f,2020-01-14T12:06:52,,906,yes,0.75,Juba,Juba,,,Juba,Juba,,,,
2020-01-14T10:55:01.015+03,2020-01-14T10:59:05.444+03,2020-01-14,,reach,,Ajuong Thok,,Unity,Abiemnhom,Kiirthok,Kiirthok market,no,,,,,,,,,9.45339,28.8291,yes,exact,AweragorAbiemnhom,"9.45339, 28.82910",9.45339,28.8291,permanent,1_15,no,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,truck car bicycle,0,1,1,0,1,0,0,0,0,0,0,0,,cereals pulses sugar cooking_oil vegetables milk,0,0,1,1,1,1,1,0,0,0,1,0,wash cooking firewood_charcoal tools seeds livestock,0,0,1,1,1,1,1,1,0,0,0,0,0,yes_reduced,relatively_sure,,80916674,684acaf1-2855-432c-af2a-9b34b3b267ee,2020-01-14T12:06:58,,907,yes,0.75,Abiemnhom,Abiemnhom,,,Abiemnhom,Abiemnhom,,,,
2020-02-06T16:48:09.943+03:00,2020-02-06T17:11:22.833+03:00,2020-02-06,,reach,,Wau,,Warrap,AbyeiRegion,Abyei,Abyei market,no,,,,,,NaN,NaN,,9.5594,28.4374,yes,exact,Nasir & Salam,"9.6043, 28.4365",9.6043,28.4365,permanent,dont_know,dont_know,no,,,,,,,,,,SSP SDG,0,1,1,0,0,0,0,0,truck car,0,1,1,0,0,0,0,0,0,0,0,0,,cereals pulses sugar cooking_oil vegetables,0,0,1,1,1,1,1,0,0,0,0,0,dont_know,1,0,0,0,0,0,0,0,0,0,0,0,0,yes,relatively_sure,,83501284,b01c5e14-6198-4c7c-ae2a-692e1c73055a,2020-02-06T14:09:24,,974,,1,Sudan,Sudan,,,Sudan,Sudan,,,,
2020-02-06T17:17:01.906+03:00,2020-02-06T17:21:20.238+03:00,2020-02-06,,reach,,Wau,,Warrap,AbyeiRegion,Agok,Agok market,no,,,,,,NaN,NaN,,9.3523,28.5813,yes,exact,Anet,"9.3523, 28.5813",9.3523,28.5813,permanent,101_200,dont_know,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,car boda bicycle people,0,0,1,1,1,0,0,0,0,0,1,0,,cereals pulses sugar cooking_oil vegetables fruit meat fish,0,0,1,1,1,1,1,1,1,1,0,0,wash cooking firewood_charcoal tools construction clothing fuel medicine phone_credit,0,0,1,1,1,1,0,0,1,1,1,1,1,yes,relatively_sure,,83503199,ce3fc889-80e4-45c2-a598-5a5a736c56a0,2020-02-06T14:19:15,,972,,2,Sudan,Sudan,,,Sudan,Sudan,,,,
2020-02-06T17:21:30.088+03:00,2020-02-06T17:32:26.691+03:00,2020-02-06,,reach,,Wau,,Warrap,AbyeiRegion,Ameit,Ameit market,no,,,,,,NaN,NaN,,10.5826,28.2191,yes,exact,Al khudur,"9.7133, 28.4670",9.7133,28.467,mobile,above_500,dont_know,dont_know,,,,,,,,,,SSP SDG,0,1,1,0,0,0,0,0,truck car boda tractor,0,1,1,1,0,1,0,0,0,0,0,0,,cereals pulses sugar cooking_oil vegetables meat fish,0,0,1,1,1,1,1,0,1,1,0,0,wash livestock clothing fuel medicine,0,0,1,0,0,0,0,1,0,1,1,1,0,dont_know,relatively_sure,,83504960,718a9dc8-56df-488b-822e-aa2f2f1b6e4a,2020-02-06T14:30:28,,963,,3,Sudan,Sudan,,,Sudan,Sudan,,,,
2020-02-06T17:11:39.686+03:00,2020-02-06T17:16:50.039+03:00,2020-02-06,,reach,,Wau,,Warrap,AbyeiRegion,Anet,Anet market,no,,,,,,NaN,NaN,,9.35,28.5796,yes,exact,Agok,"9.3500, 28.5796",9.35,28.5796,permanent,above_500,yes,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,truck car boda tractor,0,1,1,1,0,1,0,0,0,0,0,0,,cereals pulses sugar cooking_oil vegetables meat fish milk wild,0,0,1,1,1,1,1,0,1,1,1,1,wash cooking firewood_charcoal tools seeds construction clothing fuel medicine phone_credit,0,0,1,1,1,1,1,0,1,1,1,1,1,yes,very_sure,,83502578,144bc8a4-d146-4e17-8004-5ade5e94e7ae,2020-02-06T14:14:48,,973,,3,Sudan,Sudan,,,Sudan,Sudan,,,,
2020-01-10T10:16:38.112+03,2020-01-10T10:38:37.850+03,2020-01-10,,reach,,Akobo,,Jonglei,Akobo,Akobo Town,Akobo main market ,yes,7.79097463608688 33.00508898374651 407.21946532937994 4.0,7.790974636,33.00508898,407.2194653,4,7.790974636,33.00508898,,,,,,,"7.79097463608688, 33.00508898374651",7.790974636,33.00508898,permanent,above_500,yes,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,truck car boat airplane,0,1,1,0,0,0,1,0,1,0,0,0,,cereals pulses sugar cooking_oil vegetables fruit meat fish milk wild,0,0,1,1,1,1,1,1,1,1,1,1,wash firewood_charcoal tools seeds livestock construction clothing fuel medicine,0,0,1,0,1,1,1,1,1,1,1,1,0,yes,very_sure,There is no market day in Akobo main Market ,80573717,16730e17-e655-4220-b05e-3587dd36ceda,2020-01-11T06:46:37,,598,,3,"Ethiopia, Juba ",Ethiopia,Juba,,Ethiopia ,Ethiopia ,,,,
2020-01-10T09:56:05.002+03,2020-01-10T10:08:07.702+03,2020-01-10,,reach,,Akobo,,Jonglei,Akobo,Akobo Town,Duel Gora market ,yes,7.794733947871954 33.007129211402386 403.21166977887117 4.0,7.794733948,33.00712921,403.2116698,4,7.794733948,33.00712921,,,,,,,"7.794733947871954, 33.007129211402386",7.794733948,33.00712921,permanent,1_15,no,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,bicycle people,0,0,0,0,1,0,0,0,0,0,1,0,,sugar cooking_oil vegetables meat fish milk wild,0,0,0,0,1,1,1,0,1,1,1,1,wash firewood_charcoal tools construction,0,0,1,0,1,1,0,0,1,0,0,0,0,yes,very_sure,,80573673,1a997341-5044-4a26-88dd-67bfa93b0f58,2020-01-11T06:46:03,,597,,0.75,Akobo,Akobo,,,Akobo,Akobo,,,,
2020-01-10T10:52:27.259+03,2020-01-10T10:58:32.401+03,2020-01-10,,reach,,Akobo,,Jonglei,Akobo,Akobo Town,Markath market,yes,7.787479670678849 33.005014440157595 395.99356415586624 4.0,7.787479671,33.00501444,395.9935642,4,7.787479671,33.00501444,,,,,,,"7.787479670678849, 33.005014440157595",7.787479671,33.00501444,permanent,1_15,no,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,bicycle people,0,0,0,0,1,0,0,0,0,0,1,0,,pulses sugar cooking_oil vegetables milk,0,0,0,1,1,1,1,0,0,0,1,0,wash firewood_charcoal,0,0,1,0,1,0,0,0,0,0,0,0,0,yes,very_sure,,80573750,ab2f48a5-8225-4d21-8b35-cd6595b500a1,2020-01-11T06:47:15,,601,,0.75,Akobo,Akobo,,,Akobo,Akobo,,,,
2020-01-10T09:34:44.221+03,2020-01-10T09:48:21.680+03,2020-01-10,,reach,,Akobo,,Jonglei,Akobo,Akobo Town,Mission market ,yes,7.798565756232691 33.01057124398432 401.1894051138424 4.0,7.798565756,33.01057124,401.1894051,4,7.798565756,33.01057124,,,,,,,"7.798565756232691, 33.01057124398432",7.798565756,33.01057124,permanent,16_50,no,no,,,,,,,,,,SSP,0,1,0,0,0,0,0,0,canoe people,0,0,0,0,0,0,0,1,0,0,1,0,,pulses sugar cooking_oil meat fish milk wild,0,0,0,1,1,1,0,0,1,1,1,1,wash firewood_charcoal construction,0,0,1,0,1,0,0,0,1,0,0,0,0,yes,very_sure,,80573638,550308a0-b565-4875-951d-782868f817c4,2020-01-11T06:45:27,,595,,1.25,Akobo,Akobo,,,Akobo,Akobo,,,,
